wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,SKULL,BABA,,,,,,,,,,,,,,,,,,,,,wall
wall,,IS,IS,,,,,,,skull,skull,skull,skull,skull,skull,skull,,,,rock,,,,wall
wall,,DEFEAT,YOU,,,,,,,skull,,,,,,skull,,,,,,,,wall
wall,,,,,,,,,,skull,,,,,,skull,,,,,,,,wall
wall,,,,,,rock,,,,skull,,,,,,skull,,,,,,,,wall
wall,,,,,,,,,,skull,,flag,,,,skull,,,,rock,,,,wall
wall,,,water,water,water,,,,,skull,,,,,,skull,,,,,,,,wall
wall,,,water,IS,water,,,,,skull,,,,,,skull,,,,,,,,wall
wall,,,water,,water,,,,,skull,skull,skull,skull,skull,skull,skull,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,wall,wall,wall
wall,,,,,,,,,,,,,,,,,,,,,,wall,WIN,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,rock,wall
wall,FLAG,,,,wall,,,,,,,,,,WALL,,,,,,,,,wall
wall,,,,,wall,,,,,,,,,,IS,,,,,,,,,wall
wall,WATER,IS,SINK,,wall,,,,,baba,,,,,STOP,,,,,,,,,wall
wall,ROCK,IS,PUSH,,wall,,,,,,,,,,rock,,,,,,,,,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
